Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Designator,Reference Designator,Packaging,Part Status,Quantity,Unit Price,Extended Price,Mfg Std Lead Time,Description,RoHS Status,Lead Free Status,REACH Status
CL10B223KB8NNNC,Samsung Electro-Mechanics,1276-1104-1-ND,RR C123,,Cut Tape (CT),Active,1,0.09,$0.09,28 Weeks,CAP CER 0.022UF 50V X7R 0603,ROHS3 Compliant,Lead free,REACH Unaffected
C0603X104K5RAC3316,KEMET,399-C0603X104K5RAC3316CT-ND,RR C120,,Cut Tape (CT),Active,1,0.18,$0.18,31 Weeks,CAP CER 0603 0.1UF 50V X7R 10%,ROHS3 Compliant,Lead free,REACH Unaffected
0603ZC224KAT2A,AVX Corporation,478-1243-1-ND,"RR C124, C126",,Cut Tape (CT),Active,2,0.11,$0.22,16 Weeks,CAP CER 0.22UF 10V X7R 0603,ROHS3 Compliant,Lead free,REACH Unaffected
1-84952-5,TE Connectivity AMP Connectors,A101391CT-ND,"RR J8, J9",,Cut Tape (CT),Active,2,0.86,$1.72,17 Weeks,CONN FPC BOTTOM 15POS 1.00MM R/A,RoHS Compliant,Lead free,Not Available
IFSC1515AHER100M01,Vishay Dale,541-1406-1-ND,"RR L4, L7, L9",,Cut Tape (CT),Active,3,0.53,$1.59,14 Weeks,FIXED IND 10UH 1.3A 170 MOHM SMD,ROHS3 Compliant,Lead free,Not Available
06035C103JAT2A,AVX Corporation,478-5007-1-ND,"RR C118, C119",,Cut Tape (CT),Active,2,0.09,$0.18,16 Weeks,CAP CER 10000PF 50V X7R 0603,ROHS3 Compliant,Lead free,REACH Unaffected
06035C103KAT4A,AVX Corporation,478-10055-1-ND,"RR C4, C8, C9, C13, C18, C19, C20, C33, C51, C52, C58, C75, C76, C77, C80, C85, C86, C117, C121",,Cut Tape (CT),Active,19,0.032,$0.60,16 Weeks,CAP CER 10000PF 50V X7R 0603,ROHS3 Compliant,Lead free,REACH Unaffected
06035G103ZAT2A,AVX Corporation,478-1254-1-ND,RR C122,,Cut Tape (CT),Active,1,0.14,$0.14,16 Weeks,CAP CER 10000PF 50V Y5V 0603,ROHS3 Compliant,Lead free,REACH Unaffected
CRCW0603100KDHEAP,Vishay Dale,541-100KAYCT-ND,"RR R23, R24",,Cut Tape (CT),Active,2,0.27,$0.54,40 Weeks,RES SMD 100K OHM 0.5% 1/10W 0603,ROHS3 Compliant,Lead free,Not Available
CGA3E2X7R1E104K080AA,TDK Corporation,445-5667-1-ND,"RR C5, C6, C10, C15, C16, C21, C42, C45, C46, C50, C69, C70, C71, C78, C81, C82, C83, C84, C88, C91, C72, C79",,Cut Tape (CT),Active,22,0.049,$1.07,16 Weeks,CAP CER 0.1UF 25V X7R 0603,ROHS3 Compliant,Lead free,REACH Unaffected
