"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PINS";"PIN_PITCH";"SPICEPREFIX";
"C1";"0.1 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"C2";"0.1 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"C3";"1 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"C4";"0.1 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"C5";"1 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"C6";"1 uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"C8";"1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C10";"1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"C11";"1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"C";
"ECHO-MUX";"";"CD74HC4067";"SO24R";"";"";"";"";"";"";"";"";"";
"J1";"B2P-VH(LF)(SN)";"B2P-VH(LF)(SN)";"B2P";"Power Connector";"";"";"";"";"";"2";"3.96 mm";"";
"POWER-LED1";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"";"";
"Q7";"BSS138SMD";"BSS138SMD";"SPARKFUN_SOT23-3";"";"";"";"";"";"";"";"";"";
"Q8";"BSS138SMD";"BSS138SMD";"SPARKFUN_SOT23-3";"";"";"";"";"";"";"";"";"";
"Q9";"BSS138SMD";"BSS138SMD";"SPARKFUN_SOT23-3";"";"";"";"";"";"";"";"";"";
"Q10";"BSS138SMD";"BSS138SMD";"SPARKFUN_SOT23-3";"";"";"";"";"";"";"";"";"";
"Q11";"BSS138SMD";"BSS138SMD";"SPARKFUN_SOT23-3";"";"";"";"";"";"";"";"";"";
"Q12";"BSS138SMD";"BSS138SMD";"SPARKFUN_SOT23-3";"";"";"";"";"";"";"";"";"";
"R3";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R4";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"R15";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R16";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R17";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R18";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R19";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R20";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R21";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R22";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R23";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R24";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R25";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"R26";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"R";
"STATUS-LED";"";"LEDSML0603";"SML0603";"LED";"";"";"";"";"";"";"";"";
"TRIG-MUX";"";"CD74HC4067";"SO24R";"";"";"";"";"";"";"";"";"";
"U$1";"ATSAMD21J_QFP";"ATSAMD21J_QFP";"TQFP48_7MM";"";"";"";"";"";"";"";"";"";
"U$2";"PTS645SK50SMTR92";"PTS645SK50SMTR92";"PTS645SK50SMTR92";"";"";"";"";"";"";"";"";"";
"U$5";"RB521S30T1G";"RB521S30T1G";"SOD523";"";"";"";"";"";"";"";"";"";
"U2";"TLV70233DBVR";"TLV70233DBVR";"SOT-23-5";"";"296-32415-1-ND";"";"TLV70233DBVR";"";"";"";"";"";
"US1";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US2";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US3";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US4";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US5";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US6";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US7";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US8";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US9";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US10";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US11";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US12";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US13";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US14";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US15";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"US16";"4-PIN_2MM-V";"4-PIN_2MM-V";"2MM-4-V";"MPN: 0353630460";"";"";"";"";"";"4";"2.0 mm";"";
"X1";"MINI-USB-UX60A-MB-5ST";"MINI-USB-UX60A-MB-5ST";"UX60A-MB-5ST";"MINI USB Connector";"";"";"";"unknown";"unknown";"";"";"";
