On-board parts,Part Number,Per board,Needed,Order,Unit Cost,Total Cost,,Off-board parts,Part Number,Needed,Order,Unit Cost,Total Cost,
ATMEGA,ATMEGA32U4-AU,1,,2, $4.12 , $8.24 ,,Go button,CW232-ND,1,0, $2.84 , $-   ,
RFM69HCW - 915MHz,1568-1394-ND,1,,1, $5.95 , $5.95 ,,Stop button,CW233-ND,1,0, $2.77 , $-   ,
3.3V regulator,296-39452-1-ND,1,,2, $1.23 , $2.46 ,,Power switch,EG5617-ND,1,0, $0.55 , $-   ,
10uH inductor,587-2886-1-ND,1,,2, $0.29 , $0.58 ,,Other switch,CWI335-ND,1,0, $0.65 , $-   ,
47uF ceramic,587-1780-1-ND,2,,10, $0.44 , $4.37 ,,Red 5mm THT LED,C503B-RAN-CA0C0AA1-ND,1,0, $0.16 , $-   ,
4.7uF ceramic,1276-1044-1-ND,5,,10, $0.15 , $1.50 ,,Blue 5mm THT LED,C503B-BAN-CY0C0461-ND,1,0, $0.28 , $-   ,
1uF ceramic,1276-1866-1-ND,1,,10, $0.03 , $0.34 ,,Yellow 5mm THT LED,365-1183-ND,1,0, $0.20 , $-   ,
0.1uF ceramic,1276-1000-1-ND,6,,10, $0.03 , $0.33 ,,Green 5mm THT LED,C503B-GAN-CB0F0791-ND,1,0, $0.25 , $-   ,
10nF ceramic,732-8007-1-ND,1,,10, $0.02 , $0.19 ,,Straight antenna,,2,0,, $-   ,Have
9pF, 1276-2142-1-ND ,2,,10,,,,Right-angle SMA cable,CBA-SMAMR-SMAF-ND,1,0, $6.81 , $-   ,
22 ohm resistor,2019-RK73B1JTTD220JCT-ND ,2,,10, $0.02 ,,,LiPo charger,www.adafruit.com/product/1944,1,0, $14.95 , $-   ,
220 ohm resistor,A130087CT-ND,1,,10, $0.02 , $0.22 ,,2000 mAh LiPo,adafruit.com/product/2011,1,0, $12.50 , $-   ,
330 ohm resistor,CR0603-JW-331ELFCT-ND,5,,10, $0.02 , $0.15 ,,3.5mm Screw terminals for LiPo charger,www.adafruit.com/product/724 ,1,0,$2.95 , $-   ,Power out of charger
10k resistor,RMCF0603JT10K0CT-ND,3,,10, $0.02 , $0.15 ,,2.5mm screw terminals for low batt light,www.adafruit.com/product/2136,1,0, $1.25 , $-   ,Low battery light
USB header,H2960CT-ND ,1,,3, $0.99 , $2.97 ,,9-pin screw terminal for PCB,www.adafruit.com/product/2134,1,0, $3.05 , $-   ,
reset button,401-1426-1-ND,1,,2, $0.52 , $1.04 ,,,,,,,,
Crystal,SER4070CT-ND,1,,, $0.36 ,,,,,,,,,
Level shifter,296-20631-1-ND,1,,3, $2.33 , $6.99 ,,,,,,,,
Green LED,732-4971-1-ND,2,,5, $0.14 , $0.70 ,,,,,,,,
Blue LED,732-4966-1-ND,1,,3, $0.16 , $0.48 ,,,,,,,,
Yellow LED,732-4981-1-ND,1,,3, $0.14 , $0.42 ,,,,,,,,
RF SMA PCB connector,A97594-ND,1,,2, $2.17 , $4.34 ,,,,,,,,
300mA Schottky diode,NSR0530HT1GOSCT-ND,1,,3, $0.16 , $0.48 ,,,,,,,,
300mA fuse,507-1797-1-ND,1,,3, $0.13 , $0.39 ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,, $42.29 ,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LoRa radio,1597-1488-ND,,,,,,,,,,,,,
External Watchdog,APX823-31W5GDICT-ND,,,,,,,,,,,,,
Mux,MC74HC157ADGOS-ND,,,,,,,,,,,,,
SR latch,296-31498-1-ND,,,,,,,,,,,,,
